,MS Zoning,Street,Alley,Land Contour,Lot Config,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Qual,Total Bsmt SF,Heating,1st Flr SF,Gr Liv Area,Full Bath,Kitchen Qual,TotRms AbvGrd,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Misc Feature,Sale Type,SalePrice,Exter Qual and Gr Liv Area
0,RL,Pave,0,Lvl,CulDSac,Sawyer,RRAe,Norm,1Fam,2Story,6,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,CBlock,3,725.0,GasA,725,1479,2,4,6,0,Attchd,1976.0,2,2.0,475.0,0,WD ,130500,5916
1,RL,Pave,0,Lvl,CulDSac,SawyerW,Norm,Norm,1Fam,2Story,7,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,PConc,4,913.0,GasA,913,2122,2,4,8,3,Attchd,1997.0,2,2.0,559.0,0,WD ,220000,8488
2,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,CBlock,3,1057.0,GasA,1057,1057,1,4,5,0,Detchd,1953.0,1,1.0,246.0,0,WD ,109000,3171
3,RL,Pave,0,Lvl,Inside,Timber,Norm,Norm,1Fam,2Story,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,PConc,4,384.0,GasA,744,1444,2,3,7,0,BuiltIn,2007.0,3,2.0,400.0,0,WD ,174000,4332
4,RL,Pave,0,Lvl,Inside,SawyerW,Norm,Norm,1Fam,1.5Fin,6,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,PConc,2,676.0,GasA,831,1445,2,3,6,0,Detchd,1957.0,1,2.0,484.0,0,WD ,138500,4335
5,RL,Pave,0,Lvl,Corner,NAmes,PosA,Norm,1Fam,1Story,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,CBlock,3,1517.0,GasA,1888,1888,2,4,6,4,Attchd,1966.0,3,2.0,578.0,0,WD ,190000,7552
6,RM,Pave,0,Lvl,Inside,Edwards,Norm,Norm,TwnhsE,SFoyer,6,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,PConc,4,547.0,GasA,1072,1072,2,3,5,0,Basment,2005.0,3,2.0,525.0,0,New,140000,3216
7,RL,Pave,0,Lvl,Inside,NAmes,Norm,Norm,1Fam,1Story,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,CBlock,3,1188.0,GasA,1188,1188,1,3,6,0,Attchd,1959.0,2,2.0,531.0,0,COD,142000,3564
8,RL,Pave,0,Lvl,Inside,OldTown,Artery,Norm,1Fam,1Story,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,CBlock,3,924.0,GasA,924,924,1,3,6,0,Detchd,1952.0,1,1.0,420.0,Shed,WD ,112500,2772
9,RL,Pave,0,HLS,Inside,NAmes,Norm,Norm,1Fam,2Story,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,PConc,4,1040.0,GasA,1040,2080,1,2,9,3,Attchd,1969.0,1,2.0,504.0,0,WD ,135000,6240
